date, pm25, pm10, no2, so2, co
2024/3/9, 89, 47, 15, 1, 5
2024/3/10, 73, 62, 10, 1, 5
2024/3/11, 94, 36, 10, 1, 5
2024/3/12, 60, 18, 6, 1, 4
2024/3/13, 38, 23, 5, 1, 3
2024/3/14, 42, 24, 6, 1, 1
2024/3/15, 63, 71, 12, 1, 6
2024/3/16, 123, 64, 11, 1, 5
2024/3/17, 106, 73, 15, 1, 8
2024/3/18, 86, 38, 14, 1, 6
2024/3/19, 63, 50, 19, 1, 10
2024/3/20, 92, 53, 10, 1, 6
2024/3/21, 94, 10, 5, 1, 1
2024/3/22, 23, 25, 5, , 2
2024/3/23, 45, 39, 9, 1, 5
2024/3/24, 53, 42, 11, 1, 7
2024/3/25, 62, 43, 15, 1, 6
2024/3/26, 63, 37, 10, 1, 5
2024/3/27, 49, 33, 8, 1, 3
2024/3/28, 58, 15, 5, , 2
2024/3/29, 39, 10, 4, , 2
2024/3/30, 31, 24, 4, 1, 2
2024/3/31, 47, 42, 6, 1, 5
2023/10/1, 45, 1, 10, 1, 5
2023/10/2, 51, 1, 13, 1, 7
2023/10/3, 58, , 12, 1, 6
2023/10/4, 57, 1, 18, 1, 8
2023/10/5, 70, 1, 13, 1, 7
2023/10/6, 68, , 8, 1, 5
2023/10/7, 54, , 6, 1, 5
2023/10/8, 38, , 9, 1, 5
2023/10/9, 36, , 17, 1, 9
2023/10/10, 57, , 14, 1, 9
2023/10/11, 38, , 17, 1, 9
2023/10/12, 47, 1, 8, 1, 3
2023/10/13, 47, , 2, 1, 2
2023/10/14, 23, 1, 5, 1, 7
2023/10/15, 61, 43, 8, 1, 7
2023/10/16, 65, 51, 11, 1, 9
2023/10/17, 68, 46, 11, 1, 7
2023/10/18, 72, 39, 13, 1, 7
2023/10/19, 65, 64, 15, 1, 10
2023/10/20, 95, 36, 13, 1, 6
2023/10/21, 61, 37, 10, 1, 6
2023/10/22, 64, 25, 8, 1, 4
2023/10/23, 52, 26, 2, 1, 4
2023/10/24, 35, 36, 9, 1, 9
2023/10/25, 64, 23, 12, 1, 9
2023/10/26, 41, 28, 4, 1, 3
2023/10/27, 52, 54, 5, 1, 10
2023/10/28, 82, 35, 9, 1, 8
2023/10/29, 52, 30, 9, 1, 7
2023/10/30, 58, 20, 8, 1, 5
2023/10/31, 42, 29, 6, 1, 6
2023/11/1, 50, 39, 6, 1, 5
2023/11/2, 59, 43, 1, 1, 10
2023/11/3, 85, 73, , 1, 12
2023/11/4, 111, 65, , 1, 10
2023/11/5, 112, 69, , 1, 8
2023/11/6, 106, 84, , 1, 13
2023/11/7, 136, 64, , 1, 15
2023/11/8, 112, 11, , 1, 4
2023/11/9, 33, 10, , 1, 4
2023/11/10, 25, 50, , 1, 11
2023/11/11, 84, 22, , 1, 4
2023/11/12, 57, 26, , 1, 4
2023/11/13, 50, 46, , 1, 8
2023/11/14, 67, 65, , 1, 11
2023/11/15, 111, 41, , 1, 16
2023/11/16, 60, 62, , 1, 18
2023/11/17, 92, 33, , 1, 9
2023/11/18, 52, 34, , 1, 3
2023/11/19, 73, 42, , 1, 7
2023/11/20, 68, 53, , 1, 11
2023/11/21, 82, 36, , 1, 11
2023/11/22, 68, 12, , 1, 4
2023/11/23, 32, 42, , 1, 12
2023/11/24, 80, 40, , 1, 6
2023/11/25, 62, 68, , 1, 10
2023/11/26, 111, 74, 5, 1, 14
2023/11/27, 125, 84, 16, 1, 20
2023/11/28, 116, 49, 17, 1, 15
2023/11/29, 64, 37, 10, 1, 6
2023/11/30, 73, 32, 4, 1, 4
2023/12/1, 55, 35, 11, 1, 7
2023/12/2, 58, 37, 18, 1, 10
2023/12/3, 60, 39, 12, 1, 7
2023/12/4, 82, 73, 16, 1, 17
2023/12/5, 125, 33, 15, 1, 10
2023/12/6, 48, 39, 9, 1, 3
2023/12/7, 62, 43, 10, 1, 4
2023/12/8, 80, 33, 12, 1, 4
2023/12/9, 78, 57, 11, 1, 3
2023/12/10, 100, 80, 15, 1, 6
2023/12/11, 143, 22, 10, 1, 2
2023/12/12, 63, 59, 15, 1, 7
2023/12/13, 125, 79, 20, 1, 12
2023/12/14, 168, 52, 19, 1, 13
2023/12/15, 115, 164, 21, 1, 16
2023/12/16, 193, 232, 20, 1, 15
2023/12/17, 204, 131, 20, 1, 17
2023/12/18, 187, 59, 16, 1, 13
2023/12/19, 115, 48, 13, 1, 10
2023/12/20, 89, 84, 14, 1, 12
2023/12/21, 131, 58, 14, 1, 10
2023/12/22, 126, 66, 19, 1, 15
2023/12/23, 101, 23, 9, 1, 9
2023/12/24, 49, 123, 19, 1, 19
2023/12/25, 118, 27, 7, 1, 6
2023/12/26, 59, 37, 6, 1, 7
2023/12/27, 67, 24, 5, 1, 8
2023/12/28, 55, 32, 7, 1, 7
2023/12/29, 81, 21, 6, 1, 3
2023/12/30, 52, 59, 12, 1, 9
2023/12/31, 85, 86, 12, 1, 11
2023/7/1, 22, 18, 25, 1, 5
2023/7/2, 33, 27, 27, 1, 5
2023/7/3, 45, 22, 22, 1, 4
2023/7/4, 42, 12, 14, 1, 4
2023/7/5, 31, 20, 14, 1, 4
2023/7/6, 36, 16, 15, 1, 5
2023/7/7, 32, 15, 14, 1, 3
2023/7/8, 21, 19, 15, 1, 5
2023/7/9, 51, 21, 15, 1, 4
2023/7/10, 35, 18, 16, 1, 3
2023/7/11, 37, 31, 23, 1, 4
2023/7/12, 53, 31, 23, 1, 7
2023/7/13, 56, 19, 21, 1, 5
2023/7/14, 37, 17, 13, 1, 2
2023/7/15, 38, 18, 12, 1, 4
2023/7/16, 38, 18, 17, 1, 4
2023/7/17, 37, 19, 18, 1, 6
2023/7/18, 41, 24, 19, 1, 6
2023/7/19, 43, 41, 7, 1, 3
2023/7/20, 58, 33, 12, 1, 6
2023/7/21, 62, 22, 7, 1, 5
2023/7/22, 38, 20, 7, 1, 3
2023/7/23, 44, 20, 10, 1, 5
2023/7/24, 32, 21, 10, 1, 4
2023/7/25, 38, 25, 14, 1, 6
2023/7/26, 35, 22, 13, 1, 6
2023/7/27, 41, 28, 4, 1, 5
2023/7/28, 45, 23, 4, 1, 3
2023/7/29, 41, 32, 9, 1, 6
2023/7/30, 50, 21, 11, 1, 5
2023/7/31, 37, 22, 9, 1, 6
2023/8/1, 36, 16, 7, 1, 4
2023/8/2, 32, 18, 6, 1, 5
2023/8/3, 35, 21, 8, 1, 5
2023/8/4, 39, 21, 10, 1, 4
2023/8/5, 37, 15, 7, 1, 4
2023/8/6, 28, 14, 5, 1, 4
2023/8/7, 30, 15, 6, 1, 4
2023/8/8, 25, 16, 6, 1, 5
2023/8/9, 33, 21, 8, 1, 6
2023/8/10, 39, 17, 6, 1, 5
2023/8/11, 35, 17, 5, 1, 5
2023/8/12, 33, 22, 4, 1, 4
2023/8/13, 37, 16, 5, 1, 5
2023/8/14, 33, 13, 7, 1, 7
2023/8/15, 26, 12, 11, 1, 9
2023/8/16, 21, 16, 12, 1, 7
2023/8/17, 31, 19, 13, 1, 6
2023/8/18, 43, 20, 10, 1, 6
2023/8/19, 42, 23, 8, 1, 6
2023/8/20, 48, 23, 8, 1, 5
2023/8/21, 38, 20, 9, 1, 7
2023/8/22, 45, 20, 12, 1, 3
2023/8/23, 34, 20, 11, 1, 5
2023/8/24, 41, 22, 8, 1, 5
2023/8/25, 32, 23, 9, 1, 6
2023/8/26, 44, 13, 4, 1, 3
2023/8/27, 36, 7, 2, 1, 3
2023/8/28, 27, 16, 6, 1, 5
2023/8/29, 26, 22, 7, 1, 5
2023/8/30, 38, 15, 4, 1, 5
2023/8/31, 33, 12, 5, 1, 6
2023/9/1, 28, 22, 7, 1, 6
2023/9/2, 47, 18, 7, 1, 4
2023/9/3, 42, 12, 6, 1, 4
2023/9/4, 28, 10, 7, 1, 4
2023/9/5, 21, 23, 10, 1, 6
2023/9/6, 52, 15, 7, 1, 6
2023/9/7, 32, 26, 11, 1, 6
2023/9/8, 51, 23, 10, 1, 7
2023/9/9, 41, 21, 8, 1, 5
2023/9/10, 38, 32, 12, 1, 6
2023/9/11, 59, 34, 5, 1, 4
2023/9/12, 61, 46, 9, 1, 5
2023/9/13, 70, 34, 11, 1, 6
2023/9/14, 61, 30, 6, 1, 9
2023/9/15, 56, 44, 6, 1, 8
2023/9/16, 71, 37, 6, 1, 4
2023/9/17, 62, 37, 8, 1, 7
2023/9/18, 64, 42, 11, 1, 7
2023/9/19, 68, 17, 5, 1, 4
2023/9/20, 39, 1, 5, 1, 5
2023/9/21, 25, 1, 4, 1, 6
2023/9/22, 32, 1, 7, 1, 5
2023/9/23, 32, 1, 8, 1, 4
2023/9/24, 32, , 10, 1, 7
2023/9/25, 46, 1, 14, 1, 8
2023/9/30, 45, 1, 12, 1, 8
2023/4/1, 72, , , 1, 4
2023/4/2, 85, , , 1, 7
2023/4/3, 93, , , 1, 6
2023/4/4, 85, 55, 8, 1, 7
2023/4/5, 80, 45, 19, 1, 4
2023/4/6, 81, 33, 23, 1, 7
2023/4/7, 71, 23, 17, 1, 5
2023/4/8, 46, 15, 13, 1, 3
2023/4/9, 43, 35, 24, 1, 6
2023/4/10, 70, 6, 16, 1, 5
2023/4/11, 19, 24, 20, 1, 7
2023/4/12, 39, 35, 31, 1, 9
2023/4/13, 51, 42, 42, 1, 13
2023/4/14, 74, 26, 28, 1, 7
2023/4/15, 52, 17, 20, 1, 5
2023/4/16, 37, 20, 21, 1, 3
2023/4/17, 42, 20, 12, 1, 3
2023/4/18, 43, 28, 18, 1, 5
2023/4/19, 43, 45, 23, 1, 5
2023/4/20, 72, 19, 22, 1, 5
2023/4/21, 52, 25, 27, 1, 5
2023/4/22, 46, 40, 38, 1, 7
2023/4/23, 68, 19, 34, 1, 7
2023/4/24, 38, 16, 20, 1, 5
2023/4/25, 40, 26, 22, 1, 4
2023/4/26, 46, 35, 32, 1, 5
2023/4/27, 57, 42, 42, 1, 8
2023/4/28, 78, 33, 27, 1, 5
2023/4/29, 77, 16, 22, 1, 3
2023/4/30, 52, 21, 11, 1, 1
2023/5/1, 39, 26, 17, 1, 4
2023/5/2, 49, 23, 17, 1, 2
2023/5/3, 46, 12, 19, 1, 3
2023/5/4, 35, 10, 23, 1, 3
2023/5/5, 41, 17, 24, 1, 3
2023/5/6, 41, 24, 26, 1, 4
2023/5/7, 51, 21, 25, 1, 3
2023/5/8, 58, 25, 25, 1, 5
2023/5/9, 62, 24, 32, 1, 7
2023/5/10, 50, 21, 37, 1, 6
2023/5/11, 53, 11, 3, 1, 6
2023/5/12, 55, 15, , 1, 6
2023/5/13, 49, 16, , 1, 4
2023/5/14, 34, 22, , 1, 6
2023/5/15, 45, 33, , 1, 7
2023/5/16, 59, 28, , 1, 6
2023/5/17, 55, 22, , 1, 6
2023/5/18, 44, 19, , 1, 3
2023/5/19, 46, 17, , 1, 3
2023/5/20, 36, 14, , 1, 3
2023/5/21, 35, 18, , 1, 4
2023/5/22, 39, 17, , 1, 4
2023/5/23, 36, 18, , 1, 5
2023/5/24, 34, 26, , 1, 5
2023/5/25, 48, 17, , 1, 4
2023/5/26, 45, 13, , 1, 2
2023/5/27, 40, 12, , 1, 3
2023/5/28, 39, 19, , 1, 5
2023/5/29, 45, 19, , 1, 5
2023/5/30, 46, 18, , 1, 5
2023/5/31, 43, 13, , 1, 4
2023/6/1, 36, 11, , 1, 5
2023/6/2, 33, 16, , 1, 6
2023/6/3, 38, 15, , 1, 6
2023/6/4, 39, 17, , 1, 6
2023/6/5, 45, 15, , 2, 6
2023/6/6, 45, 12, , 2, 6
2023/6/7, 42, 16, , 2, 4
2023/6/8, 37, 20, 8, 2, 6
2023/6/9, 46, 29, 14, 1, 5
2023/6/10, 56, 29, 11, 1, 3
2023/6/11, 52, 31, 15, 1, 4
2023/6/12, 57, 44, 25, 1, 6
2023/6/13, 78, 29, 18, 1, 4
2023/6/14, 50, 30, 15, 1, 3
2023/6/15, 55, 16, 24, 1, 4
2023/6/16, 34, 23, 33, 1, 4
2023/6/17, 56, 19, 30, 1, 4
2023/6/18, 50, 19, 23, 1, 4
2023/6/19, 39, 30, 18, 1, 5
2023/6/20, 46, 22, 20, 1, 5
2023/6/21, 47, 24, 15, 1, 2
2023/6/22, 43, 31, 21, 1, 5
2023/6/23, 56, 29, 24, 1, 4
2023/6/24, 51, 21, 18, 1, 5
2023/6/25, 46, 12, 13, 1, 2
2023/6/26, 23, 22, 27, 1, 5
2023/6/27, 44, 15, 21, 1, 6
2023/6/28, 45, 13, 19, 1, 5
2023/6/29, 33, 17, 24, 1, 5
2023/6/30, 34, 15, 22, 1, 4
2023/1/2, 68, 40, , 1, 11
2023/1/3, 75, 29, , 1, 11
2023/1/4, 61, 75, , 1, 20
2023/1/5, 123, 42, , 1, 21
2023/1/6, 77, 68, , 1, 17
2023/1/7, 117, 100, , 1, 19
2023/1/8, 136, 66, , 1, 15
2023/1/9, 100, 22, , 1, 5
2023/1/10, 52, 16, , 1, 2
2023/1/11, 53, 34, , 1, 7
2023/1/12, 81, 66, , 1, 14
2023/1/13, 153, 112, , 1, 18
2023/1/14, 188, 193, , 1, 23
2023/1/15, 242, 183, , 1, 28
2023/1/16, 258, 109, , 1, 22
2023/1/17, 190, 161, , 1, 28
2023/1/18, 220, 121, , 1, 24
2023/1/19, 212, 181, , 1, 30
2023/1/20, 206, 127, , 1, 19
2023/1/21, 179, 103, , 1, 12
2023/1/22, 176, 125, , 1, 20
2023/1/23, 206, 107, , 1, 14
2023/1/24, 136, 99, , 1, 21
2023/1/25, 155, 98, , 1, 17
2023/1/26, 192, 139, , 1, 23
2023/1/27, 176, 164, , 1, 24
2023/1/28, 242, 80, , 1, 10
2023/1/29, 128, 174, , 1, 22
2023/1/30, 206, 50, , 1, 17
2023/1/31, 127, 105, , 1, 20
2023/2/1, 140, 166, , 1, 26
2023/2/2, 202, 82, , 1, 17
2023/2/3, 115, 68, , 1, 14
2023/2/4, 114, 44, , 1, 11
2023/2/5, 76, 66, , 1, 13
2023/2/6, 107, 110, , 1, 23
2023/2/7, 171, 106, , 1, 20
2023/2/8, 176, 81, , 1, 14
2023/2/9, 128, 17, , 1, 2
2023/2/10, 52, 50, , 1, 7
2023/2/11, 101, 42, , 1, 9
2023/2/12, 75, 54, , 1, 7
2023/2/13, 96, 86, , 1, 14
2023/2/14, 150, 72, , 1, 13
2023/2/15, 129, 93, , 1, 9
2023/2/16, 152, 129, , 1, 13
2023/2/17, 174, 62, , 1, 6
2023/2/18, 81, , , 1, 9
2023/2/19, 137, , , 1, 21
2023/2/20, 170, , , 1, 19
2023/2/21, 103, , , 1, 16
2023/2/22, 83, , , 1, 12
2023/2/23, 90, , , 1, 20
2023/2/24, 109, , , 1, 7
2023/2/25, 65, , , 1, 2
2023/2/26, 76, , , 1, 6
2023/2/27, 119, , , 1, 14
2023/2/28, 139, , , 1, 12
2023/3/1, 81, , , 1, 11
2023/3/2, 88, , , 1, 9
2023/3/3, 87, , , 1, 10
2023/3/4, 122, , , 1, 11
2023/3/5, 88, , , 1, 10
2023/3/6, 107, , , 1, 11
2023/3/7, 57, , , 1, 11
2023/3/8, 62, , , 1, 4
2023/3/9, 47, , , 1, 14
2023/3/10, 77, , , 1, 13
2023/3/11, 68, , , 1, 4
2023/3/12, 85, , , 1, 3
2023/3/13, 25, , , 1, 7
2023/3/14, 76, , , 1, 8
2023/3/15, 51, , , 1, 5
2023/3/16, 60, , , 1, 7
2023/3/17, 98, , , 1, 3
2023/3/18, 57, , , 1, 6
2023/3/19, 57, , , 1, 7
2023/3/20, 92, , , 1, 6
2023/3/21, 100, , , 1, 9
2023/3/22, 117, , , 1, 8
2023/3/23, 90, , , 1, 9
2023/3/24, 101, , , 1, 8
2023/3/25, 116, , , 1, 5
2023/3/26, 94, , , 1, 7
2023/3/27, 76, , , 1, 8
2023/3/28, 83, , , 1, 9
2023/3/29, 78, , , 1, 7
2023/3/30, 61, , , 1, 6
2023/3/31, 65, 5, , 1, 6
2022/10/1, 60, 20, , 2, 3
2022/10/2, 80, 35, , 2, 7
2022/10/3, 91, 18, , 1, 6
2022/10/4, 64, 22, , 1, 5
2022/10/5, 63, 33, 18, 2, 11
2022/10/6, 67, 46, 45, 2, 11
2022/10/7, 83, 39, 52, 2, 9
2022/10/8, 80, 21, 34, 2, 5
2022/10/9, 64, 20, 32, 2, 7
2022/10/10, 58, 24, 35, 1, 9
2022/10/11, 56, 44, 64, 3, 12
2022/10/12, 96, 37, 67, 2, 12
2022/10/13, 69, 29, 66, 2, 10
2022/10/14, 70, 60, 80, 2, 12
2022/10/15, 88, 42, 67, 2, 10
2022/10/16, 93, 28, 44, 3, 7
2022/10/17, 76, 20, 24, 1, 6
2022/10/18, 61, 21, 20, 1, 5
2022/10/19, 53, 19, 18, 1, 6
2022/10/20, 51, 48, 53, 4, 14
2022/10/21, 92, 34, 51, 2, 14
2022/10/22, 60, 30, 23, 2, 4
2022/10/23, 91, 28, 14, 1, 3
2022/10/24, 63, 42, 21, 1, 8
2022/10/25, 90, 23, 22, 1, 9
2022/10/26, 58, 8, 15, 1, 5
2022/10/27, 38, 29, 16, 1, 5
2022/10/28, 63, 50, , 2, 14
2022/10/29, 108, 37, , 1, 7
2022/10/30, 61, 18, , 1, 5
2022/10/31, 57, 32, , 1, 13
2022/11/1, 68, 37, , 1, 13
2022/11/2, 89, 35, , 1, 6
2022/11/3, 70, 53, , 1, 11
2022/11/4, 101, 36, , 2, 9
2022/11/5, 79, 70, , 1, 13
2022/11/6, 125, 69, , 1, 13
2022/11/7, 140, 10, , 1, 4
2022/11/8, 47, 13, 6, 1, 5
2022/11/9, 41, 39, 26, 1, 13
2022/11/10, 72, 40, 26, 2, 11
2022/11/11, 93, 45, 25, 2, 13
2022/11/12, 92, 61, 43, 2, 15
2022/11/13, 102, 42, 37, 2, 10
2022/11/14, 85, 44, 33, 2, 8
2022/11/15, 87, 18, 18, 1, 6
2022/11/16, 54, 39, 24, 2, 9
2022/11/17, 96, 82, 41, 2, 22
2022/11/18, 160, 88, 36, 2, 23
2022/11/19, 130, 22, 18, 2, 8
2022/11/20, 64, 23, 21, 2, 8
2022/11/21, 61, 18, 20, 2, 6
2022/11/22, 57, 24, 21, 2, 7
2022/11/23, 67, 83, 30, 2, 20
2022/11/24, 137, 41, 29, 2, 13
2022/11/25, 94, 29, 19, 2, 6
2022/11/26, 67, 55, 30, 2, 6
2022/11/27, 123, 101, 37, 2, 13
2022/11/28, 167, 92, 38, 1, 13
2022/11/29, 163, 143, 42, 1, 30
2022/11/30, 173, 34, , 1, 6
2022/12/1, 71, 83, , 1, 15
2022/12/2, 147, 93, , 1, 15
2022/12/3, 149, 58, , 1, 8
2022/12/4, 122, 81, , 1, 8
2022/12/5, 156, 79, , 1, 9
2022/12/13, 209, 124, , 1, 15
2022/12/14, 181, 196, , 1, 22
2022/12/15, 229, 119, , 1, 17
2022/12/16, 176, 34, , 1, 8
2022/12/17, 78, 65, , 1, 10
2022/12/18, 131, 97, , 1, 18
2022/12/19, 168, 74, , 2, 19
2022/12/20, 137, 96, , 2, 20
2022/12/21, 99, 39, , 1, 7
2022/12/22, 77, 82, , 1, 8
2022/12/23, 149, 91, , 1, 14
2022/12/24, 160, 104, , 1, 19
2022/12/25, 176, 178, , 1, 32
2022/12/26, 223, 141, , 1, 31
