ds,temp,wind_speed,humidity,pressure
2020-11-16,-0.40,13.60,57.12,929.92
2020-11-17,-7.70,19.10,62.00,934.08
2020-11-18,-7.80,19.10,63.08,930.05
2020-11-19,-8.70,15.00,70.79,935.48
2020-11-20,-9.20,18.50,76.46,936.65
2020-11-21,-7.90,21.50,65.83,932.05
2020-11-22,-8.20,19.10,74.50,926.25
2020-11-23,-6.80,9.80,78.29,931.38
2020-11-24,-6.50,9.10,76.38,929.77
2020-11-25,-4.70,14.60,60.50,928.98
2020-11-26,-2.00,10.60,53.83,931.85
2020-11-27,-0.60,10.50,61.83,927.65
2020-11-28,-0.60,17.70,75.54,933.21
2020-11-29,-4.50,10.30,86.58,942.10
2020-11-30,-8.30,10.80,87.42,939.53
2020-12-01,-7.80,18.10,77.50,933.35
2020-12-02,-2.40,10.90,48.71,930.92
2020-12-03,2.00,6.50,40.46,928.87
2020-12-04,0.20,6.60,66.04,928.45
2020-12-05,-3.60,7.20,88.71,930.80
2020-12-06,-5.30,15.60,83.21,931.73
2020-12-07,-5.90,14.10,80.29,928.34
2020-12-08,-7.90,18.10,83.17,931.46
2020-12-09,-5.10,13.20,74.83,931.64
2020-12-10,-5.20,9.80,69.67,932.27
2020-12-11,-7.40,13.70,79.46,933.51
2020-12-12,-9.70,16.10,78.08,932.52
2020-12-13,-10.20,17.40,73.67,933.64
2020-12-14,-9.20,12.60,79.38,934.30
2020-12-15,-9.40,11.80,80.83,935.95
2020-12-16,-10.30,14.10,79.29,936.42
2020-12-17,-9.20,14.40,73.58,935.59
2020-12-18,-6.80,9.90,49.00,931.28
2020-12-19,-3.20,9.70,35.33,924.93
2020-12-20,-2.70,9.10,72.50,930.55
2020-12-21,-7.80,12.20,92.29,936.67
2020-12-22,-10.40,14.20,71.12,931.71
2020-12-23,-11.70,16.90,68.88,927.38
2020-12-24,-10.30,14.20,70.04,923.09
2020-12-25,-6.00,13.00,62.83,921.35
2020-12-26,-5.70,9.70,68.17,924.42
2020-12-27,-8.80,9.10,76.38,934.91
2020-12-28,-9.80,21.10,72.08,934.25
2020-12-29,-7.40,22.30,72.04,932.33
2020-12-30,-8.50,14.00,74.12,934.06
2020-12-31,-9.10,12.60,83.75,936.48
2021-01-01,-8.30,8.40,81.00,934.76
2021-01-02,-12.10,16.60,72.92,936.42
2021-01-03,-15.30,19.10,71.33,936.79
2021-01-04,-14.70,24.40,70.71,935.25
2021-01-05,-12.00,21.30,67.08,930.16
