ds,temp,wind_speed
2021-04-24,4.0,12.6
2021-04-25,12.3,8.8
2021-04-26,16.5,14.3
2021-04-27,17.8,14.3
2021-04-28,20.0,9.7
2021-04-29,21.6,11.0
2021-04-30,23.3,19.4
2021-05-01,11.4,12.3
2021-05-02,12.6,10.6
2021-05-03,17.3,14.3
2021-05-04,17.8,10.5
2021-05-05,20.3,8.9
2021-05-06,22.2,12.8
2021-05-07,18.3,11.0
2021-05-08,19.5,7.0
2021-05-09,20.2,14.3
2021-05-10,17.4,6.8
2021-05-11,17.1,17.2
2021-05-12,13.4,13.7
2021-05-13,14.4,8.9
2021-05-14,12.1,16.2
2021-05-15,11.7,9.0
2021-05-16,13.8,8.7
2021-05-17,16.5,8.9
2021-05-18,18.3,8.1
2021-05-19,20.8,15.3
2021-05-20,17.6,20.4
2021-05-21,15.4,5.8
2021-05-22,17.5,7.4
2021-05-23,20.7,7.8
2021-05-24,22.3,10.1
2021-05-25,22.9,10.9
2021-05-26,23.9,10.1
2021-05-27,23.4,13.7
2021-05-28,23.9,11.2
2021-05-29,22.7,9.4
2021-05-30,23.8,10.8
2021-05-31,24.7,9.2
2021-06-01,25.4,11.9
2021-06-02,26.4,17.9
2021-06-03,26.2,14.7
2021-06-04,26.0,30.7
2021-06-05,25.1,17.7
2021-06-06,20.9,10.2
2021-06-07,25.6,15.9
2021-06-08,26.6,22.0
2021-06-09,25.6,16.7
2021-06-10,23.5,16.9
2021-06-11,21.5,17.7
2021-06-12,20.8,8.3
2021-06-13,17.0,10.7
2021-06-14,18.0,6.0
2021-06-15,19.6,8.9
2021-06-16,21.2,15.9
2021-06-17,24.0,15.8
2021-06-18,24.1,16.5
2021-06-19,24.9,17.9
2021-06-20,16.8,10.0
2021-06-21,20.6,14.8
2021-06-22,19.2,15.5
2021-06-23,19.0,7.1
2021-06-24,21.8,19.7
2021-06-25,15.5,8.7
2021-06-26,19.1,8.3
2021-06-27,21.5,10.5
2021-06-28,24.2,8.4
2021-06-29,25.7,8.5
2021-06-30,26.2,7.5
2021-07-01,26.6,9.5
2021-07-02,27.6,9.9
2021-07-03,28.3,8.5
2021-07-04,28.6,19.4
2021-07-05,29.0,15.0
2021-07-06,28.8,18.8
2021-07-07,29.1,10.9
