date,9,temp,wind_speed,humidity,pressure
2018-02-05,80.0,-8.5,17.5,81.54,915.88
2018-02-06,40.0,-8.8,13.4,67.33,917.66
2018-02-07,59.0,-10.1,10.5,71.38,926.1
2018-02-08,82.0,-11.0,17.9,82.46,927.68
2018-02-09,110.0,-10.4,24.2,69.96,917.02
2018-02-10,62.0,-7.7,17.0,53.79,910.65
2018-02-11,65.5,-5.9,14.2,55.83,913.58
2018-02-12,69.0,-4.6,12.7,57.46,910.35
2018-02-13,58.0,-2.1,11.5,52.79,907.27
2018-02-14,47.0,-0.1,12.7,67.21,908.13
2018-02-15,68.0,-2.9,8.2,92.42,916.22
2018-02-16,72.0,-6.7,8.5,89.46,925.26
2018-02-17,101.0,-5.9,6.4,88.33,923.79
2018-02-18,69.0,-8.1,7.3,91.75,921.09
2018-02-19,63.0,-10.2,11.5,85.88,922.25
2018-02-20,70.0,-8.0,20.0,68.08,910.71
2018-02-21,45.0,-1.2,13.4,67.96,912.48
2018-02-22,80.0,-0.3,7.1,93.04,916.88
2018-02-23,74.0,0.9,8.8,81.25,911.04
2018-02-24,54.0,3.3,10.1,51.46,910.03
2018-02-25,93.0,0.5,9.7,80.21,912.83
2018-02-26,75.0,2.5,9.2,70.96,907.75
2018-02-27,38.0,3.9,13.5,79.5,910.12
2018-02-28,22.0,6.1,9.7,58.75,911.72
2018-03-01,57.0,4.8,8.7,79.71,907.75
2018-03-02,45.0,0.4,6.9,98.21,909.05
2018-03-03,47.0,0.0,10.0,85.42,913.63
2018-03-04,18.0,3.5,18.6,52.46,908.65
2018-03-05,19.0,4.8,9.8,66.58,913.1
2018-03-06,20.0,7.8,12.6,33.46,909.39
2018-03-07,21.0,2.9,10.6,86.17,916.27
2018-03-08,22.0,2.5,14.7,78.54,913.68
2018-03-09,23.0,7.2,12.2,51.96,905.37
2018-03-10,24.0,10.4,11.7,46.5,903.23
2018-03-11,28.0,9.7,13.0,62.17,905.98
2018-03-12,27.0,5.1,11.5,92.88,912.41
2018-03-13,30.0,2.7,8.9,93.0,910.21
2018-03-14,24.0,3.1,7.9,90.17,912.11
2018-03-15,31.0,0.2,12.6,88.42,912.72
2018-03-16,23.0,-0.7,11.7,83.62,914.84
2018-03-17,36.0,-0.6,12.2,74.33,917.97
2018-03-18,40.0,3.4,15.8,52.83,912.36
2018-03-19,50.0,9.4,9.8,46.46,911.57
2018-03-20,50.0,12.2,11.0,51.0,915.43
2018-03-21,41.0,13.0,8.0,52.54,910.3
2018-03-22,43.0,13.8,7.6,40.0,906.16
2018-03-23,22.0,9.8,9.7,72.25,911.12
2018-03-24,15.0,8.6,20.0,65.12,913.95
2018-03-25,32.0,13.1,13.1,52.33,912.26
2018-03-26,19.0,13.1,14.7,57.04,914.45
2018-03-27,18.0,8.1,8.6,76.96,914.55
2018-03-28,18.0,7.6,8.1,77.33,914.91
2018-03-29,14.0,9.2,13.8,66.25,914.15
2018-03-30,14.0,12.8,15.8,53.25,911.11
2018-03-31,18.0,16.2,14.0,53.46,905.7
2018-04-01,36.0,1.0,17.5,95.38,918.46
2018-04-02,42.0,3.0,8.6,70.67,920.85
2018-04-03,43.0,5.1,12.7,59.88,920.63
2018-04-04,36.0,5.6,17.2,56.54,918.85
2018-04-05,49.0,10.3,10.9,48.62,912.29
2018-04-06,48.0,14.6,10.6,42.83,910.69
2018-04-07,31.0,11.9,10.3,61.12,913.44
2018-04-08,16.0,7.4,16.3,74.88,917.81
2018-04-09,22.0,8.8,7.6,61.92,913.25
2018-04-10,14.0,8.1,11.6,70.96,916.4
2018-04-11,6.0,3.9,9.2,75.79,923.73
2018-04-12,39.0,6.5,10.4,59.79,918.18
2018-04-13,19.0,12.3,12.8,41.42,909.31
2018-04-14,21.0,14.2,8.2,38.96,906.39
2018-04-15,29.0,16.6,11.0,36.62,906.88
