Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,104,105,106,108,3269728,4372603,4438736,4439094,4439475,5901326,5917712,7723955,30369354,34703847,36200067,36671067,37052366,38834077,39168240,39379024,Grand Total
28-May,41,13,21,24,25,25,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
29-May,23,9,16,5,15,25,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
30-May,14,13,15,,13,25,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
31-May,16,12,18,10,13,27,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
1-Jun,29,16,21,,17,30,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
2-Jun,26,11,15,,12,25,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
3-Jun,27,10,15,,,24,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
4-Jun,26,13,19,,,27,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
5-Jun,20,10,15,,12,21,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
6-Jun,18,10,16,10,12,24,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
7-Jun,7,5,10,6,5,23,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
8-Jun,19,14,22,15,14,26,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
9-Jun,34,14,21,15,18,25,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
10-Jun,28,12,20,13,16,19,16,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
11-Jun,21,17,25,18,19,23,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
12-Jun,35,21,28,21,22,28,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
13-Jun,32,16,21,16,18,23,34,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
14-Jun,23,11,17,12,15,19,40,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
15-Jun,18,15,18,14,14,21,40,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
16-Jun,33,16,19,15,14,23,45,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
17-Jun,24,13,17,14,16,20,32,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
18-Jun,17,11,17,13,15,17,31,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
19-Jun,23,12,19,12,13,19,24,29,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
20-Jun,19,15,21,15,15,22,28,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
21-Jun,24,13,15,12,12,20,32,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
22-Jun,28,15,20,16,18,23,29,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
23-Jun,13,11,16,12,14,19,20,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
24-Jun,16,9,12,10,9,15,20,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
25-Jun,35,12,20,14,15,19,47,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
26-Jun,29,9,,9,12,16,27,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
27-Jun,25,10,,9,12,17,31,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
28-Jun,17,11,,9,11,19,21,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
29-Jun,18,12,,10,9,19,28,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
30-Jun,31,15,,15,14,22,29,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
1-Jul,31,20,,17,48,26,40,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
2-Jul,24,13,,13,19,21,35,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
3-Jul,31,20,,18,18,25,30,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
4-Jul,29,15,,14,16,21,35,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
5-Jul,26,16,,14,14,22,33,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
6-Jul,,17,,16,14,25,,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
